recipe_name,prep_time,cook_time,total_time,servings,ingredients,instructions,ingredient_names
Seafood Sinigang Recipe,5 minutes,30 minutes,35 minutes,6,"3 cups water (divided) | 2 150-gram packs Tamarind (Sampalok) | 2 tablespoons Oil | 1 medium red onion (peeled, quartered) | 4  tomatoes (cored) | 1  radish (labanos) (lightly peeled, sliced into rounds) | 1  green finger chili (siling pangsigang) | 1/4 kilo fresh suahe/shrimps (antennae and veins removed) | 1 medium boneless bangus (quartered) | 1 bunch kangkong (leaves and tender stems) | patis (to taste)","In a small pot over medium heat, add half the water and sampaloc. Bring to a boil and simmer until sampaloc is tender, about 20 minutes. Using a potato masher, mash softened sampaloc. Strain liquid through a fine mesh strainer over a bowl. Reserve liquid, and discard seeds and shells. Set aside. | Meanwhile, in a large pot over medium heat, heat oil. Add onion, and lightly saute. Add tomatoes, labanos, and remaining water. Season with patis to taste. Bring to a boil and simmer until labanos is tender. | Add strained sampaloc stock and sili to the pot. Season with more patis to taste. Bring back to a boil then simmer. Add suahe and bangus, and simmer until cooked through. Stir in kangkong. Serve with steamed rice. Recipe originally published in the April 2017 issue of Good Housekeeping Philippines.",tamarind | tomato | radish | green finger chili | antenna and veins | bangus | kangkong
Chicken and Pork Adobo Recipe,10 minutes,35 minutes,45 minutes,6,1/4 Cup Oil | 1/2 kilo chicken legs (about 8 pieces) | 1/2 kilo Pork belly (cubed) | 1/2 Cup Soy Sauce | 1 1/4 Cup white vinegar | 2  laurel leaves | 1 1/2 Cup water | 1 head Garlic (cloves separated) | ground black pepper (to taste),"In a pressure cooker over medium heat, heat oil. Add and brown chicken and pork pieces in batches. | Return all the meat, including any juices, back into the pot. Add remaining ingredients. Increase heat to high, and bring to a boil. Cover and lock lid, lowering heat to low. Simmer 30 minutes or until pork is tender. | Release pressure before unlocking and removing lid. Simmer sauce until thickened. Serve with steamed rice. Recipe originally published in the April 2017 issue of Good Housekeeping Philippines.",chicken | pork | laurel
Nilaga Recipe,10 minutes,1 hour 20 minutes,1 hour 30 minutes,8,"2 tablespoons Oil | 1 medium red onion (peeled, quartered) | 1 kilo Beef ((use beef cubes)) | 4 cups water | 2 tablespoons patis (plus more to serve) | 1/2 teaspoon black peppercorns | 1/2 kilo Potatoes (peeled, cubed) | 1 small head cabbage | 1 bunch green beans | calamansi (to serve) | siling labuyo (to serve)","Heat oil in a pressure cooker over medium heat. Add onion, and stir to lightly saute. Add beef chunks, water, patis, and peppercorns. Increase heat to high, and bring to a boil. Remove any scum that rises to the surface. Cover and lock lid, lowering heatto low. Simmer 45 minutes or until beef is tender. | Release pressure before unlocking and removing lid. Add potatoes. Bring back to a simmer, and cook potatoes until tender. Add cabbage and green beans. Cook until just tender. Serve with steamed rice, patis, calamansi, and siling labuyo on the side. Recipe originally published in the April 2017 issue of Good Housekeeping Philippines.",beef cube | black peppercorn | potato | cabbage | sitaw | calamansi | labuyo
Filipino Ginataan Recipe,5 minutes,40 minutes,45 minutes,8,"1/4 Cup small sago | 2 1/2 cups water (divided) | 1 tablespoon sugar | 1 Cup glutinous rice flour | 1/2 teaspoon ube flavoring | 1 1/2 Cup water | 1/2 Cup sugar | 2 Small sweet potatoes (kamote) (peeled, sliced into half moons) | 2  saba bananas (peeled, sliced) | 1 Cup coconut cream | 1/2 Cup sweetened jackfruit (langka) (preserved)","In a small pot over medium heat, add sago and 2 cups water. Bring to a boil then simmer, stirring regularly to avoid scorching sago. Once tender, set aside. | Meanwhile, make bilobilo: In a medium bowl, dissolve sugar in remaining water. Add rice flour and form mixture into a dough. Divide mixture between two bowls. Color and flavor one bowl with ube flavoring, leaving the other plain. Gently knead colored dough until color is uniform. Set aside. | In a medium pot over medium heat, mix water and sugar. Add camote and saba. Bring to a boil then lower heat to a simmer. Roll small pieces of bilo-bilo dough, and drop in the simmering liquid. Repeat process with remaining dough. | Pour in coconut cream and bring to a gentle simmer. Strain sago from cooking liquid, and add to the pot. Stir in jackfruit. Cook until heated through. Serve warm. Recipe originally published in the April 2017 issue of Good Housekeeping Philippines.",sago | glutinous rice flour | ube | sweet potato | saba banana | coconut cream | jackfruit
Chicken Inasal Recipe,5 minutes,30 minutes,35 minutes,6,"6 cloves Garlic (peeled, chopped) | 2 tablespoons ginger (peeled, grated) | 1/4 Cup Calamansi Juice | 1 bunch lemongrass (tanglad) (bulb finely chopped) | 1 whole Chicken (cut into 6 pieces) | bamboo sticks (for spearing) | 1/4 Cup Oil | 1 teaspoon anatto seeds (atsuete) | Salt (to taste) | Soy Sauce (to taste) | coconut sap vinegar (sukang tuba) (to serve) | siling labuyo (to serve)","In a large bowl, combine garlic, ginger, calamansi juice, and tanglad. Marinate chicken at least 30 minutes. Soak bamboo sticks in water. | Meanwhile, in a pan over medium heat, heat oil. Add atsuete seeds and cook, stirring occasionally, to release its color into the oil. Use a slotted spoon to remove and discard seeds. | Heat up a charcoal grill or preheat a grill pan over medium heat. Remove chicken from marinade. Season with salt and ground black pepper. Spear chicken with soaked bamboo sticks. | Brush chicken with atsuete oil. Place on the grill and cook until cooked through, basting with atsuete oil regularly. Serve with garlic rice, atsara, and a mixture of soy sauce, sukang tuba, and sili, if desired.

Recipe originally published in the April 2017 issue of Good Housekeeping Philippines.",ginger | calamansi juice | lemongrass | whole chicken | bamboo | anatto seed | coconut sap vinegar | labuyo
Beef Pastel Recipe,15 minutes,2 hours,2 hours 15 minutes,8,"1 kilo beef kalitiran (cubed) | 3 cloves Garlic (minced) | 1 Small red onions (sliced) | 3 Cup water (more if needed) | 1 large carrot (peeled, cubed) | 3 tablespoons cream of asparagus soup powder | 7  Vienna sausages (quartered) | 1/2 Cup whole mushrooms (drained, rinsed, quartered) | 1/2 Cup water chestnuts (drained, rinsed, quartered) | 1/2 Cup frozen green peas (thawed) | Oil (for sauteing)","Season beef with salt and pepper. In a large saute pan over medium-high heat, sear beef in oil. Add garlic and onion, and cook, stirring, until softened. Pour in 3 cups water or until water covers beef. Bring to a boil.Cover and simmer until beef is tender, adding more water if necessary. Alternatively, use pressure cooker for faster tenderizing. Reduce stock. Add carrots. Cook until cooked through. | Whisk in soup powder until dissolved. Add remaining vegetables and sausages, and cook until heated through. Transfer to a 13 ""x9 "" in. baking dish. Recipe originally published in the May 2014 issue of Good Housekeeping Philippines.",beef kalitiran | carrot | cream asparagus soup powder | vienna sausage | whole mushroom | water chestnut | green pea
Pineapple Pork Barbecue Recipe,20 minutes,30 minutes,50 minutes,20 sticks,4 cloves Garlic (minced) | 1 kilo pork pigue (sliced thinly) | 1 Cup fresh pineapple (chopped) | 1/3 Cup fresh pineapple chunks | 1  zucchini (cut into half moons) | 2 Small Onions (peeled) | 3/4 Cup ketchup | 2 tablespoons brown sugar | 1 tablespoons Worcestershire sauce | 1/4 teaspoons Salt (or to taste) | Salt (to taste) | ground black pepper (to taste),"Soak bamboo sticks in water overnight. Wrap tips with foil to prevent burning, if desired. Set aside. | In a large bowl, season pork with salt, pepper, and garlic; marinate overnight. | Heat up the grill. Stir pineapple into pork mixture, and begin to skewer as pork marinates in pineapple. Skewer pineapples, zucchini, and onions. Once grill is hot, grill sticks until pieces are cooked through. | Meanwhile, make sauce: Place leftover marinade and remaining ingredients in a saucepan, and bring to a simmer until thickened, stirring. If desired, in last 3 mins. of grilling, brush pork with prepared sauce, and finish grilling. Serve with pineapple BBQ sauce, and grilled vegetables and pineapples on the side. Recipe originally published in the June 2014 issue of Good Housekeeping Philippines.",pork pigue | pineapple | pineapple chunk | half moon | ketchup | brown sugar | worcestershire sauce
Lemongrass Pork Chop Recipe,10 minutes,20 minutes,30 minutes,4,"2 cloves Garlic (peeled) | 1 Small onion (peeled) | 2 stalks Lemongrass (white part only) | 1/4 teaspoon Pepper | 1/2 teaspoon Salt | 2 teaspoons sugar | 1 1/2 tablespoons patis | 1 teaspoon Calamansi Juice | 4  pork chops (skins removed) | 1 400-gram can garbanzos (rinsed, drained) | 1/2  Cucumber (seeds removed and diced) | 2 tablespoons Vinegar | 1/2 teaspoon sugar | 1/4 teaspoon ground cumin | Oil (for frying)","Make the marinade: combine garlic, onion, lemongrass, pepper, salt, sugar, patis, and calamansi juice in a bowl. Place the pork chops inside and let sit for at least 4 hours. | Pat the pork chops dry and pan-fry until cooked through, about 7 to 8 minutes per side. | Make the salad: mix the grbanzos, cucumber, cinegar, sugar, and cumin together. Season to taste with salt and pepper. Recipe originally published in the June 2014 issue of Good Housekeeping Philippines.",stalks lemongrass white part | calamansi juice | skin | cucumber | cumin
Lemon Turmeric Bangus Recipe,10 minutes,20 minutes,30 minutes,4,2  bangus belly fillets (unseasoned) | 2 tablespoons lemon juice (divided) | 2 tablespoons Butter | 1 teaspoon ground turmeric | 1/2 Cup chicken broth | 2 cloves Garlic (minced) | 2 tablespoons Pesto (store-bought) | 4 cups rice (cooked) | Oil (for frying) | Onions (peeled),"In a large frying pan over medium- high heat, heat oil. Season bangus with 1 Tbsp. lemon juice, salt, and pepper and pan fry until golden brown on both sides. Remove from heat, and transfer to a plate. Set aside. | In the same pan, melt butter. Sprinkle in turmeric; stir, then add lemon juice, swirling pan to blend. Pour in chicken stock, and season with salt and pepper, to taste. Pour over bangus. Set aside. | Meanwhile, make rice: In a wok over medium-high heat, heat oil and saute garlic until softened. Add rice then pesto, tossing to coat. Season with salt and pepper and serve with bangus. Recipe originally published in the June 2014 issue of Good Housekeeping Philippines.",bangus belly fillet | lemon juice | butter | turmeric | chicken broth | pesto | rice
Ginataang Mais Recipe,5 minutes,25 minutes,30 minutes,4,"2 cups coconut milk | 1/2 Cup malagkit rice (or glutinous rice) | 1/2 Cup sugar | 1 Cup Corn kernels (plus more, for topping) | condensed milk (for topping (optional))","Place coconut milk and malagkit rice in a saucepan over medium heat, cook for about 3 to 5 minutes. Once coconut milk starts boiling, turn the heat down and stir continuously to prevent the rice from sticking to the pan. Continue stirring until rice is cooked through, about 12 to 15 minutes. | Add corn kernels and sugar, and cook until sugar dissolves. Top with corn and condensed milk. Serve warm.",coconut milk | glutinous rice | corn kernel | milk
Grilled Seafood Platter with Atsuete-Calamansi Sauce Recipe,45 minutes,45 minutes,1 hour 30 minutes,8,"3/4 cup canola oil | 3/4 cup margarine | 2 teaspoons garlic (grated) | 1 10-gram pack atsuete powder (we used Mama Sitas) | 3 to 4 tablespoons calamansi Juice | 2 1/2 tablespoons soy sauce (or to taste) | 1 1/2 tablespoons sugar (or to taste) | chili flakes (to taste) | ground black pepper (to taste) | 1/4 cup green onions (finely chopped) | 500 grams mussels (beards removed and scrubbed) | 500 grams clams (scrubbed and soaked in water) | 500 grams scallops (in shells, top shell removed) | 500 grams prawns (back slit open using kitchen shears) | 350 grams tawilis (small, cleaned, scaled, and gutted)","Make the atsuete-calamansi sauce: Heat oil and melt margarine in a saucepan over medium heat. Add garlic and atsuete powder; mix for a few seconds. Turn off heat and add remaining ingredients. Season to taste with chili flakes and black pepper. Add green onions and mix. Divide sauce into 2 portions. Set a portion aside. | Preheat a charcoal grill until very hot. | Place mussels and clams on a disposable aluminum baking pan. Toss in 3 tablespoons atsuete-calamansi sauce. Cover with foil and place pan on hot grill. Cover grill with lid and cook for 15 to 20 minutes or until shells open. Remove from grill. Discard shells that remain closed. | Baste scallop meat with atsuete-calamansi sauce. Place scallops, meat side up, on the hot grill. Cover grill with lid and cook for about 5 minutes or until meat is plump and firm but still moist. Remove from grill and keep warm. | Place prawns and tawilis in separate bowls. Toss 3 tablespoons sauce into each bowl. Place prawns on the hot grill and cook for 2 to 3 minutes on each side or until prawns turn pink. Remove from grilland keep warm. | Place tawilis on the hot grill and cook for 2 to 3 minutes on each side. Remove from grill and keep warm. | Arrange seafood on a large platter. Serve remaining atsuete-calamansi sauce on the side.",canola oil | margarine | mama sita | calamansi juice | chili flake | green onion | mussel | clam | top shell | slit open using kitchen shear | tawilis
Liempo with Garlic Honey Marinade Recipe,10 minutes,20 minutes,30 minutes,4,500 Grams Pork belly (or liempo) | 1/2 Cup honey | 1 teaspoon smoked paprika | 1 head Garlic (skins removed) | Salt (to taste) | Oil (for frying),"Sprinkle salt on pork belly and set aside. | Using a mortar and pestle, place garlic and mash. Add honey and smoked paprika. Place the marinade inside a ziptop bag along with the liempo and let marinate inside the refrigerator overnight or for at least 8 hours. | Once ready to cook, wash the liempo over running water and pat until completely dry. Heat oil in pan over medium-high heat. Place pork belly into the pan and cook for about 7 to 10 minutes per side, depending on the thickness of the pork. Serve with rice and vinegar on the side.",pork | honey | smoked paprika | garlic skin
Spiced Pork Lugaw Recipe,10 minutes,40 minutes,50 minutes,6,"4 tablespoons Oil (divided) | 1  red onion (peeled, sliced) | 3 cloves Garlic (minced) | 1/2 teaspoon ground turmeric | 1/2 teaspoon ground cumin (divided) | 1 teaspoon ginger (grated) | 2 cups Glutinous rice (malagkit) (rinsed) | 8 cups water (or as necessary) | 1/4 kilo pork (cutlets, sliced thinly) | Salt (to taste) | ground black pepper (to taste)","In a medium-sized stockpot over low heat, heat about 2 tablespoons oil. Add onion and garlic, and sweat until translucent. Sprinkle in turmeric, half the cumin, and ginger, and saute until aromatic. | Add rice, and stir to mix with the spices, then pour in water. Bring to a boil then lower to a simmer. Stir regularly until rice is cooked to avoid scorching and sticking. Add more water if necessary to achieve your desired consistency. | Meanwhile, heat 2 tablespoons oil in a frying pan over medium heat. Generously season pork cutlets with salt, pepper, and remaining cumin. Pan fry pork until golden brown on both sides. Set aside, and keep warm. | To serve, scoop lugaw into bowls, slice pork, and top each bowl with pork. Serve hot. Recipe originally published in the September 2014 issue of Good Housekeeping Philippines.",turmeric | cumin | ginger | glutinous rice | cutlet
Easy Pan-Fried Pork Belly Recipe,10 minutes,20 minutes,30 minutes,3 to 4,juice from half a lemon | 2 tablespoons Worcestershire sauce | 500 Grams pork belly slices (liempo) (boneless) | Salt (to taste) | ground black pepper (to taste) | 1 tablespoon vegetable oil | 1 tablespoon mayonnaise | 1 tablespoon cane vinegar | 1 teaspoon sugar | 1 Small cabbage (shredded finely) | 1 medium carrot (shredded finely) | 1 medium white onion (sliced thinly) | 2 tablespoons Bottled Jalapeo (sliced) | 1 handful cilantro,"Combine lemon juice and Worcestershire sauce in a bowl. Add pork belly and marinate for a few minutes. Season with salt and pepper. | Make the slaw: Combine mayonnaise, vinegar, sugar, salt, and pepper in a bowl. Add cabbage, carrots, onions, jalape&ntilde;os, and cilantro; mix until well combined. Set aside. | Heat oil in a skillet over medium heat. Cook pork belly slices until browned, about 8 minutes per side.  | Slice pork thinly into smaller pieces and place on a serving dish. Serve with slaw on the side. Garnish with more cilantro leaves.",half a lemon | worcestershire sauce | pork | vegetable oil | mayonnaise | cane vinegar | cabbage | carrot | bottled jalapeo | cilantro
Adobo Chicken Wings Recipe,10 minutes,30 minutes,40 minutes,4,"1 kilo chicken wings | 2 tablespoons Worcestershire sauce | 1/4 Cup Soy Sauce | 1/4 Cup white vinegar | 1/4 Cup water | 2 tablespoons Garlic (chopped) | 1 tablespoon Jalapenos (canned, chopped) | 1  bay leaf | 1/4 Cup atsuete oil","Combine all ingredients, except atsuete oil, in a clay pot or deep, heavy-bottomed casserole over medium-high heat. Simmer for 15 to 20 minutes. Strain and reserve liquid. | Combine reserved liquid and atsuete oil in a bowl. | Preheat a charcoal grill. Grill chicken for 8 to 10 minutes per side, basting frequently with atsuete mixture. Serve immediately.",chicken | worcestershire sauce | jalapeno | bay leaf
Pork and Shrimp Meatballs in Soup Recipe,10 minutes,35 minutes,45 minutes,6,"1/4 kilo ground pork | 1/4 kilo Shrimp (peeled, deveined, coarsely chopped) | 3  scallions (thinly sliced) | 3 cloves Garlic (minced) | 1 teaspoon fresh ginger (grated) | 1 tablespoon liquid seasoning | 2 teaspoons sesame oil | 5 cups pork broth | 1 Cup frozen green peas (thawed) | 1/2 small head cabbage (shredded) | 1 Cup malunggay leaves | Salt (to taste) | ground black pepper (to taste)","Make pork balls: Place ground pork and shrimp in a large bowl. Mix in scallions, garlic, ginger, liquid seasoning, sesame oil, and freshly ground pepper. Form into 1-inch balls. Set aside. | Meanwhile, pour pork broth into a large pot over med. heat. Bring to a boil then lower to a simmer. Drop pork balls into the simmering soup. Cook until balls float to the surface. Skim any scum that rises to the surface, and discard. | Add green peas, then cabbage, and cook until both are tender. Stir in malunggay leaves just before removing from the heat. Ladle into bowls, and serve hot. Recipe originally published in the September 2014 issue of Good Housekeeping Philippines.",pork | shrimp | green onion | ginger | liquid | sesame oil | pork broth | green pea | cabbage | malunggay leave
Classic Filipino Embotido Recipe,20 minutes,1 hour,1 hour 20 minutes,4 to 6,"1 tablespoon vegetable oil | 1/2  large white onion (chopped) | 500 Grams ground pork | 1 piece chorizo bilbao (chopped) | 1/2 (270 gram) bottle pickle relish | 6  green olives (pitted, chopped) | 1/2 (170-gram) can tomato paste | 1 (185-gram) can pimiento (chopped) | 1 1/2 tablespoons Worcestershire sauce | 1 teaspoon Salt | 1/2 Cup raisins | 2 tablespoons cornstarch | 1 (185-gram) box cheddar cheese (grated) | 4  large eggs","Line 2 llaneras or 2 (8x4-inch) loaf pans with parchment paper. Set aside. | Heat oil in a large pan. Saute onions until translucent. Add pork, chorizo, pickle relish, and olives. Cook until pork turns white. | Add tomato paste and mix well. Cook until pork is cooked through, about 10 to 15 minutes. | Add pimiento, Worcestershire sauce, salt, raisins, and cornstarch. Mix well. | Add cheese and mix. Turn heat off and allow to cool. Add eggs and mix well. | Preheat a steamer. Portion pork mixture between prepared pans. Steam for 30 to 40 minutes or until cooked through.",vegetable oil | pork | chorizo bilbao | bottle pickle relish | green olive | paste | pimiento | worcestershire sauce | raisin | cornstarch | box cheddar cheese | egg
Chiles Rellenos (Cheese-Stuffed Peppers) Recipe,30 minutes,1 hour,1 hour 30 minutes,6,"1/3 Cup corn oil | 1  onion (medium-sized, chopped) | 4 cloves Garlic (chopped) | 1/3 Cup all-purpose flour | 3  green finger chilies (siling pangsigang) (seeded) | 1 1/2 cups canned crushed tomatoes | 2 teaspoons Salt | 1 1/2 teaspoons oregano (crushed) | 1/4 teaspoon ground black pepper | 1  bay leaf | ground cloves (to taste) | ground cinnamon (optional, to taste) | 6  green bell peppers (or poblano chiles) | 170 Grams mild cheddar or Monterey Jack cheese (shredded or sliced into 6 thin sticks) | 1/3 Cup all-purpose flour (for dusting, plus 1 tablespoon, sifted) | 6  eggs (separated) | 3/4 teaspoon Salt | 2 cups canola oil | sour cream, fresh cilantro, and cherry tomatoes (to garnish)","Make the sauce: Heat oil in a medium saucepan over medium-low heat. Saute onions and garlic until golden and almost caramelized. Add flour; mix until lightly browned. Add chilies and tomatoes. Transfer mixture to a food processor and puree. Return mixture to saucepan. Stir in 5 cups water and remaining ingredients. Bring to a boil. Lower heat and simmer until thick, about 45 minutes. Turn off heat. Keep warm. | Roast peppers over an open flame until charred. (You can also use a broiler.) Immediately place peppers in a zip-top bag, seal, and steam for 10 minutes. Remove skin. Cut a slit lengthwise down the middle of each pepper; remove core and seeds. | Stuff peppers with cheese then dust with flour on all sides. Set aside. | In the bowl of an electric mixer fitted with the whisk attachment, beat egg whites until stiff peaks form. Beat yolks in another bowl with 1 tablespoon flour and salt. Fold yolks into whites. | Heat oil in a heavy-bottomed pan over medium heat. Dip a pepper in egg mixture and coat well. Fry until golden, about 5 minutes. Drain on paper towels. Repeat with remaining peppers and egg mixture | Place sauce in a shallow bowl. Place peppers on top. Top with sour cream, cilantro, and cherry tomatoes.",corn oil | all purpose flour | green finger chili | crushed tomato | oregano | bay leaf | cinnamon | bell pepper | monterey jack cheese | egg | canola oil | and cherry tomato
Kielbasa Sausage with Bell Peppers Recipe,5 minutes,25 minutes,30 minutes,4,1 500-gram pack kielbasa sausages | 2 tablespoons vegetable oil | 1  white onion (cut into large chunks) | 1  red bell pepper (seeded and cut into large chunks) | 1  green bell pepper (seeded and cut into large chunks) | 1  yellow bell pepper (seeded and cut into large chunks) | salt and ground black pepper (to taste) | 1 Cup Sweet chili sauce,"Boil sausage in 2 cups water for 10 minutes. Drain and allow to cool for a few minutes, then slice into thick rounds. Set aside. | Boil sausage in 2 cups water for 10 minutes. Drain and allow to cool for a few minutes, then slice into thick rounds. Set aside. | Add onions and saute for 2 minutes. Add bell peppers and saute for 3 minutes. Season with ground black pepper and salt. | Add sweet chili sauce and stir to combine. Simmer for 5 minutes. Serve hot.",500 kielbasa sausage | vegetable oil | bell pepper | sweet chili sauce
Chayotes Rellenos (Stuffed Sayote) Recipe,15 minutes,45 minutes,1 hour,8,4 (300 grams each)  chayotes (sayote) (sliced in half lengthwise and seeds scooped out) | 3 tablespoons olive oil | 1/2 medium white onion (chopped) | 1  small red bell pepper (cored and chopped finely) | 4 cloves Garlic (minced) | 500 Grams lean ground beef | 2 teaspoons ground cumin | 1  bay leaf | 1/2 teaspoon dried oregano | 1/8 teaspoon Cayenne pepper | 6 tablespoons muscovado or coconut sugar | 1 Cup Canned Tomato Puree | 1/2 to 2 tablespoons fish sauce (patis) | 5  prunes (diced) | salt and pepper | 1  Egg (beaten) | 4 tablespoons Japanese breadcrumbs | 4 tablespoons grated parmesan cheese | 2 tablespoons flat-leaf parsley (minced) | 2 tablespoons unsalted butter (melted),"Simmer sayote in a pot of salted water for 15 minutes. Plunge immediately in ice-cold water to stop the cooking process. Drain well. | Scoop out flesh from the middle of each sayote, leaving a 1/2-inch-thick shell. Dice sayote flesh and set aside. Place sayote halves on a greased baking pan and set aside. | Preheat oven to 425 degrees F. | Make the filling: Heat olive oil in a saucepan. Saute onions and red bell peppers until onions are caramelized. Add garlic and saute for 1 minute. | Add ground beef, cumin, bay leaf, oregano, and cayenne pepper. Cook until browned. Add diced sayote, sugar, tomato puree, fish sauce, and prunes. Simmer over low heat until mixture is dry. Remove bay leaf. Season to taste with salt and pepper. Let cool. Stir in beaten egg. | Fill sayote halves with filling. Combine breadcrumbs, cheese, parsley, and butter in a bowl. Sprinkle on top of sayote. Bake in the preheated oven until tops are golden brown, about 15 to 20 minutes. Serve hot.",chayote | olive oil | bell pepper | beef | cumin | bay leaf | dried oregano | cayenne pepper | coconut sugar | tomato puree | prunes | salt and pepper | egg | japanese breadcrumb | parmesan cheese | flat leaf parsley | butter
Pork Stir-fry with Apples Recipe,5 minutes,15 minutes,20 minutes,4,"1/4 kilo pork tenderloin (sliced thinly on the diagonal) | 1  Fuji apple (peeled, cored, cut into 12 wedges) | 2 tablespoons apple cider vinegar | 1 teaspoon sugar | 1 tablespoon ginger (grated) | 4 cloves Garlic (minced) | 1  carrot (cut into strips) | salt and pepper (to taste) | Oil (for sauteing)","Add some sweetness to your pork stir-fry with apples. | Heat a wok over high heat. Add 2 Tbsp. oil and heat to shimmering. Saute ginger and garlic until aromatic. Add carrots and apples with vinegar mixture, and cook apples until heated through. | Add pork, and toss to combine and coat with other ingredients. Stir fry until pork is cooked through. Season with salt and pepper to taste, and serve immediately with steamed rice. Recipe originally published in the November 2014 issue of Good Housekeeping Philippines.",pork | fuji apple | apple cider vinegar | ginger | carrot | salt and pepper
Pesang Isda Recipe,20 minutes,25 minutes,45 minutes,4,"4 pieces (about 500 grams each) white fish steaks (like maya-maya, cleaned) | Salt | 1 tablespoon vegetable oil | 5 cloves Garlic (peeled and crushed) | 1 Small white onion (sliced) | 2 pieces ginger (Thumb-sized, peeled sliced into thin rounds) | 4 to 5 cups water (or rice washing) | patis (fish sauce) | 6 to 8  black peppercorns | 1 small head cabbage (cleaned and quartered) | 1 bunch Baguio pechay (cleaned and ends removed) | 4 stalks green onions (trimmed and cut into 1/2-inch pieces) | 1 1/2 tablespoons vegetable oil | 1 (250-gram) block firm tofu (tokwa) (or fermented soybean (tahure), mashed) | 5 cloves Garlic (peeled and crushed) | 1  red onion (small, sliced) | 5  red native tomatoes (medium, sliced) | Soy Sauce (to taste)","Rub fish with salt. Set aside for about 10 minutes. | Heat oil in a large pot over medium heat. Saute garlic, onions, and ginger until onions are translucent. | Add fish and water or rice washing. Boil for about 10 minutes. Season with fish sauce, salt, and black peppercorns. Simmer for about 5 minutes. | Add cabbage, pechay, and green onions. Simmer for 3 minutes or until vegetables are slightly wilted but still crisp. | Taste and adjust seasoning. Remove from heat and transfer to a serving bowl. | Make the dipping sauce: Heat oil in a pan over medium heat. Saute mashed tofu, garlic, onions, and tomatoes until tofu is soft. Season with soy sauce to give tofu a light brown color. Transfer to a bowl and serve as a dipping sauce on the side.",white fish steak | vegetable oil | thumb sized | rice water | black peppercorn | cabbage | baguio pechay | stalks green onion | block firm tofu | red native tomato
Laing Recipe,15 minutes,45 minutes,1 hour,10,"coconut milk (from 2 mature coconuts (niyog)) | 250 Grams Pork belly (cut into 1/2-inch pieces) | 3/4 Cup red onions | 2 teaspoons Garlic (minced) | 2 teaspoons shrimp paste (bagoong alamang) | Salt (to taste) | 2 kilos gabi leaves (dried, or 1 1/4 kilos fresh) | 250 Grams small shrimps (shelled and deveined with heads and tails left on) | coconut cream (from 2 mature coconuts (niyog)) | 1 to 2  bird's eye chilies (siling labuyo) (chopped) | toasted garlic chips (to garnish (optional))","Bring coconut milk to a boil in a large pan over medium-high heat. Add pork, onions, garlic, and shrimp paste. Boil for 3 to 4 minutes. | Taste and adjust seasoning with salt. Add gabi leaves. Turn heat to medium-low. Allow coconut milk to reduce further until thick and gabi leaves are tender, about 15 to 20 minutes. | Add shrimps, coconut cream, and chilies. Cook for about 10 minutes. Taste and adjust seasoning with salt. | Garnish with toasted garlic, if desired.",mature coconut | pork | gabi | and tail | bird's eye chily | garlic chip
Ginisang Pechay (Sauteed Pechay) Recipe,10 minutes,10 minutes,20 minutes,2,2 tablespoons cooking oil | 2 cloves Garlic (minced) | 1 medium onion (chopped) | 1/2 kilo pechay Tagalog (sliced) | 1 kilo ground pork | 2 tablespoons Soy Sauce | Salt (to taste) | ground black pepper (to taste),"In a preheated wok with oil, saute garlic. Add the onions once the garlic turns golden brown. | Add the ground pork and cook for 5 to 10 minutes. Season with soy sauce, salt and pepper. | Add in the pechay Tagalog and turn off heat. Allow the greens to be cooked by the residual heat. Serve immediately.",pechay tagalog | pork
Ginataang Hipon (Shrimp in Coconut Cream) Recipe,10 minutes,20 minutes,30 minutes,2,"2 tablespoons cooking oil | 2 cloves Garlic (minced) | 1 piece ginger ((thumb-sized), sliced) | 1 medium red onion (sliced) | 1/2 kilo Shrimp (medium-sized) | 2 cups coconut cream (kakang gata) | 3 pieces green finger chili (siling haba) (sliced) | Salt (to taste) | ground black pepper (to taste)","Pre-heat oil in a medium-sized pan. Saute garlic, ginger, and onion in until fragrant or the onion turns translucent. | Add the shrimps and saute until it turns orange or about 5-7 minutes. | Pour in the coconut cream and let it simmer over low flame for 10 minutes. Season with salt and pepper. | Add the finger chilies and simmer for 2 to 3 minutes. Serve warm.",ginger | shrimp | coconut cream | green finger chili
Calamansi and Patis-Glazed Lechon Kawali Recipe,15 minutes,1 hour,1 hour 15 minutes,4,1 kilo whole pork belly (liempo) | Salt (to taste) | Pepper (to taste) | Oil (for deep-frying) | 1 Cup honey | 1/2 tablespoon patis | 1/4 teaspoon Knorr SavorRich Pork | Calamansi Juice (from 3 pieces of calamansi),"In a pot with the pork, add Knorr SavorRich pork and pour enough water to cover the liempo. Boil for 30 to 45 minutes until the pork is fork tender. | Let the meat cool and rest in the refrigerator for an hour or overnight. | In a pre-heated wok, deep-fry the liempo until the skin is crisp. Drain on a cooling rack. | In a separate bowl, honey, patis and calamansi until well-combined. | Pour the sauce over the lechon kawali before serving.",whole pork belly | deep frying | honey | calamansi juice
